,episodio,recompensa,distancia,pX,pY,pZ
413,414,32667,56.0,130.0,96.0,53.0
414,415,3592592,6.0,100.0,96.0,104.0
415,416,14634,83.0,19.0,96.0,82.0
416,417,1234567,9.0,108.0,96.0,98.0
417,418,4750000,5.0,103.0,96.0,101.0
418,419,97656,32.0,70.0,96.0,110.0
419,420,137174,27.0,75.0,96.0,109.0
420,421,308641,18.0,84.0,96.0,108.0
421,422,826446,11.0,92.0,96.0,107.0
422,423,27492,61.0,131.0,96.0,48.0
423,424,826446,11.0,93.0,96.0,107.0
424,425,6250000,4.0,102.0,96.0,100.0
425,426,591715,13.0,111.0,96.0,94.0
426,427,60492,41.0,130.0,96.0,73.0
427,428,694444,12.0,111.0,96.0,96.0
428,429,35164,54.0,46.0,96.0,104.0
429,430,88279,34.0,124.0,96.0,76.0
430,431,510204,14.0,87.0,96.0,105.0
431,432,137174,27.0,75.0,96.0,110.0
432,433,155976,26.0,119.0,96.0,83.0
433,434,183894,23.0,119.0,96.0,87.0
434,435,54083,43.0,58.0,96.0,108.0
435,436,510204,14.0,112.0,96.0,95.0
436,437,97656,32.0,70.0,96.0,111.0
437,438,32277,56.0,44.0,96.0,100.0
438,439,226757,21.0,82.0,96.0,110.0
439,440,65746,39.0,62.0,96.0,110.0
440,441,1234567,9.0,108.0,96.0,98.0
441,442,37958,52.0,49.0,96.0,106.0
442,443,194894,23.0,79.0,96.0,108.0
443,444,1562500,8.0,107.0,96.0,99.0
444,445,160000,25.0,120.0,96.0,85.0
445,446,64664,40.0,61.0,96.0,109.0
446,447,137174,27.0,118.0,96.0,80.0
447,448,49382,45.0,127.0,96.0,64.0
448,449,250000,20.0,117.0,96.0,90.0
449,450,38964,51.0,50.0,96.0,107.0
450,451,63582,40.0,127.0,96.0,71.0
451,452,2777777,6.0,98.0,96.0,104.0
452,453,4000000,5.0,103.0,96.0,102.0
453,454,782445,12.0,111.0,96.0,96.0
454,455,106409,31.0,70.0,96.0,107.0
455,456,564545,13.0,90.0,96.0,108.0
456,457,178752,24.0,120.0,96.0,88.0
457,458,47966,46.0,54.0,96.0,105.0
458,459,660201,13.0,111.0,96.0,94.0
459,460,694444,12.0,91.0,96.0,107.0
460,461,29726,58.0,42.0,96.0,103.0
461,462,66914,39.0,63.0,96.0,111.0
462,463,2777777,6.0,98.0,96.0,104.0
463,464,42818,49.0,129.0,96.0,61.0
464,465,127551,28.0,74.0,96.0,110.0
465,466,104058,31.0,123.0,96.0,79.0
466,467,1234567,9.0,94.0,96.0,106.0
467,468,360888,17.0,113.0,96.0,90.0
468,469,3185185,6.0,104.0,96.0,100.0
469,470,4000000,5.0,102.0,96.0,102.0
470,471,194894,23.0,79.0,96.0,108.0
471,472,124669,29.0,74.0,96.0,111.0
472,473,1234567,9.0,108.0,96.0,98.0
473,474,47966,46.0,128.0,96.0,64.0
474,475,4000000,5.0,99.0,96.0,103.0
475,476,466364,15.0,88.0,96.0,108.0
476,477,71781,38.0,63.0,96.0,109.0
477,478,694444,12.0,110.0,96.0,94.0
478,479,2532123,7.0,98.0,96.0,105.0
479,480,1453189,9.0,95.0,96.0,106.0
480,481,3592592,6.0,104.0,96.0,101.0
481,482,21843,68.0,32.0,96.0,100.0
482,483,173611,24.0,77.0,96.0,107.0
